iter	Passed	Remaining
171	332	1601
172	334	1600
173	336	1598
174	338	1597
175	341	1596
176	343	1594
177	344	1592
178	346	1591
179	349	1590
180	351	1588
181	352	1582
182	353	1579
183	355	1575
184	358	1580
185	362	1586
186	363	1581
187	365	1580
188	367	1576
189	368	1573
190	371	1573
191	373	1573
192	375	1571
193	377	1569
194	379	1567
195	381	1565
196	383	1563
197	385	1560
198	387	1558
199	391	1566
200	393	1564
201	395	1560
202	397	1559
203	398	1554
204	400	1551
205	401	1548
206	403	1545
207	405	1545
208	407	1543
209	409	1540
210	411	1538
211	413	1538
212	415	1535
213	417	1533
214	419	1531
215	421	1531
216	423	1528
217	425	1526
218	427	1523
219	428	1520
220	430	1518
221	432	1515
222	434	1513
223	435	1509
224	437	1507
225	439	1506
226	442	1506
227	444	1504
228	446	1502
229	448	1500
230	449	1498
231	451	1496
232	453	1493
233	455	1492
234	457	1488
235	459	1487
236	461	1484
237	463	1483
238	465	1482
239	467	1479
240	470	1481
241	472	1480
242	474	1477
243	476	1475
244	477	1472
245	4245	557	246	4246	559	247	4247	561	248	4248	564	249	4249	566	1700
250	569	1698
251	570	1693
252	572	1691
253	575	1689
254	577	1686
255	581	1690
256	583	1686
257	585	1684
258	587	1679
259	588	1675
260	589	1670
261	591	1665
262	593	1662
263	595	1659
264	596	265	5265	598	266	5266	600	267	5267	602	268	5268	604	269	5269	606	270	5270	608	1637
271	613	1642
272	616	1640
273	618	1638
274	620	1635
275	622	1633
276	626	1635
277	628	1633
278	630	1630
279	632	1625
280	634	1623
281	636	1620
282	638	1618
283	640	1615
284	643	1613
285	646	1614
286	649	1612
287	651	1611
288	654	1609
289	656	1606
290	658	1604
291	660	1601
292	663	1599
293	665	1598
294	668	1596
295	669	1592
296	671	1590
297	674	1587
298	677	1589
299	679	1585
300	682	1584
301	684	1582
302	686	1579
303	688	1576
304	691	1574
305	693	1572
306	695	1570
307	698	1569
308	700	1566
309	702	1563
310	704	1561
311	707	1560
312	711	1561
313	713	1559
314	716	1557
315	718	1556
316	722	1555
317	723	1552
318	725	1548
319	726	1544
320	729	1542
321	731	1539
322	732	1534
323	734	1532
324	736	1529
325	738	1527
326	741	1525
327	742	1520
328	744	1518
329	746	1515
330	748	1512
331	749	1508
332	752	1506
333	754	1503
334	756	1501
335	757	1497
336	760	1495
337	763	1494
338	765	1492
339	767	1490
340	769	1488
341	772	1487
342	775	1484
343	777	1482
344	779	1479
345	780	1475
346	783	1474
347	785	1471
348	787	1469
349	789	1465
350	791	1462
351	793	1460
352	795	1458
353	796	1454
354	798	1450
355	799	1446
356	802	1444
357	803	1441
358	806	1439
359	807	1435
360	809	1432
361	811	1430
362	814	1428
363	816	1426
364	818	1424
365	823	1426
366	825	1423
367	827	1421
368	829	1418
369	831	1416
370	833	1413
371	835	1411
372	838	1408
373	839	1405
374	841	1403
375	844	1401
376	846	1398
377	848	1396
378	851	1394
379	853	1392
380	856	1391
381	859	1390
382	862	1388
383	863	1385
384	866	1383
385	867	1379
386	870	1378
387	871	1374
388	873	1371
389	875	1369
390	877	1367
391	879	1363
392	881	1361
393	884	1360
394	886	1357
395	889	1356
396	891	1354
397	894	1352
398	896	1350
399	899	1348
400	901	1347
401	904	1345
402	906	1343
403	909	1341
404	911	1338
405	913	1336
406	914	1333
407	917	1330
408	921	1331
409	924	1330
410	932	1335
411	937	1338
412	940	1336
413	941	1332
414	943	1330
415	944	1326
416	946	1323
417	948	1320
418	950	1318
419	952	1315
420	953	1311
421	955	1308
422	957	1306
423	960	1304
424	962	1301
425	964	1299
426	966	1296
427	972	1300
428	975	1298
429	976	1294
430	977	1290
431	979	1287
432	981	1285
433	984	1283
434	986	1280
435	988	1278
436	990	1276
437	993	1274
438	995	1271
439	997	1269
440	1000	1268
441	1002	1265
442	1003	1261
443	1005	1259
444	1007	1257
445	1009	1254
446	1011	1251
447	1029	1268
448	1034	1269
449	1036	1266
450	1040	1266
451	1042	1263
452	1044	1260
453	1053	1266
454	1056	1265
455	1057	1261
456	1058	1258
457	1061	1256
458	1063	1253
459	1068	1254
460	1074	1256
461	1078	1255
462	1082	1255
463	1084	1252
464	1086	1249
465	1091	1250
466	1094	1248
467	1096	1245
468	1100	1245
469	1102	1242
470	1103	1239
471	1107	1238
472	1109	1236
473	1112	1234
474	1116	1234
475	1120	1233
476	1124	1233
477	1126	1229
478	1127	1226
479	1128	1222
480	1133	1222
481	1135	1220
482	1138	1218
483	1139	1215
484	1141	1212
485	1143	1209
486	1145	1206
487	1149	1206
488	1150	1202
489	1157	1204
490	1160	1203
491	1164	1202
492	1168	1201
493	1170	1198
494	1172	1195
495	1176	1195
496	1183	1197
497	1185	1194
498	1188	1193
499	1192	1192
500	1195	1190
501	1200	1190
502	1203	1189
503	1204	1185
504	1210	1186
505	1211	1183
506	1212	1179
507	1215	1176
508	1217	1174
509	1220	1172
510	1222	1169
511	1226	1168
512	1230	1168
513	1236	1169
514	1240	1167
515	1242	1165
516	1249	1167
517	1250	1163
518	1253	1161
519	1257	1160
520	1259	1157
521	1260	1154
522	1264	1152
523	1266	1150
524	1270	1149
525	1274	1148
526	1276	1146
527	1280	1144
528	1282	1142
529	1286	1140
530	1288	1138
531	1290	1134
532	1295	1134
533	1298	1132
534	1535	1298	535	1305	1130
536	1309	1128
537	1538	1312	538	1539	1316	539	1540	1319	1119
541	1327	1121
542	1329	1118
543	1331	1116
544	1333	1113
545	1337	1112
546	1342	1111
547	1345	1109
548	1348	1107
549	1353	1107
550	1356	1105
551	1359	1103
552	1364	1102
553	1367	1100
554	1372	1100
555	1377	1100
556	1380	1098
557	1385	1097
558	1387	1094
559	1391	1093
560	1395	1091
561	1401	1092
562	1403	1089
563	1406	1087
564	1409	1085
565	1412	1082
566	1414	1080
567	1419	1079
568	1424	1078
569	1427	1077
570	1431	1075
571	1434	1073
572	1437	1071
573	1441	1069
574	1444	1067
575	1446	1064
576	1448	1061
577	1452	1060
578	1454	1057
579	1458	1056
580	1461	1053
581	1467	1053
582	1468	1050
583	1474	1050
584	1476	1047
585	1481	1046
586	1485	1045
587	1490	1044
588	1493	1042
589	1497	1040
590	1500	1038
591	1505	1037
592	1510	1036
593	1513	1034
594	1515	1031
595	1518	1029
596	1522	1027
597	1524	1025
598	1527	1022
599	1530	1020
600	1532	1017
601	1539	1017
602	1547	1018
603	1551	1017
604	1556	1016
605	1559	1013
606	1562	1011
607	1566	1009
608	1572	1009
609	1578	1008
610	1581	1006
611	1584	1004
612	1586	1001
613	1588	998
614	1591	996
615	1597	996
616	1604	996
617	1608	994
618	1611	991
619	1613	988
620	1615	985
621	1619	984
622	1623	982
623	1628	981
624	1639	983
625	1642	981
626	1646	979
627	1647	975
628	1652	974
629	1655	972
630	1658	970
631	1661	967
632	1663	964
633	1669	963
634	1671	960
635	1674	958
636	1677	956
637	1681	954
638	1684	951
639	1687	949
640	1692	947
641	1694	945
642	1700	943
643	1702	941
644	1704	938
645	1707	935
646	1709	932
647	1711	929
648	1714	926
649	1720	926
650	1722	923
651	1725	920
652	1728	918
653	1733	917
654	1737	915
655	1741	913
656	1744	910
657	1748	908
658	1756	908
659	1766	910
660	1768	907
661	1772	905
662	1775	902
663	1779	900
664	1783	898
665	1785	895
666	1788	892
667	1791	890
668	1795	888
669	1798	885
670	1801	883
671	1808	882
672	1812	880
673	1819	879
674	1822	877
675	1826	875
676	1829	872
677	1831	869
678	1833	866
679	1836	864
680	1839	861
681	1842	858
682	1844	856
683	1847	853
684	1849	850
685	1853	848
686	1855	845
687	1858	842
688	1860	839
689	1862	836
690	1865	834
691	1867	831
692	1870	828
693	1871	825
694	1874	822
695	1876	819
696	1879	817
697	1882	814
698	1885	811
699	1887	808
700	1890	806
701	1892	803
702	1895	800
703	1898	798
704	1901	795
705	1904	792
706	1906	789
707	1908	786
708	1910	784
709	1912	781
710	1915	778
711	1917	775
712	1919	772
713	1921	769
714	1923	766
715	1926	764
716	1931	762
717	1936	760
718	1942	759
719	1944	756
720	1947	753
721	1950	751
722	1952	748
723	1955	745
724	1958	742
725	1960	740
726	1963	737
727	1965	734
728	1968	731
729	1971	729
730	1973	726
731	1975	723
732	1977	720
733	1979	717
734	1981	714
735	1982	711
736	1985	708
737	1987	705
738	1990	702
739	1992	700
740	1994	696
741	1995	693
742	1997	690
743	1999	687
744	2001	685
745	2003	682
746	2005	679
747	2007	676
748	2009	673
749	2011	670
750	2013	667
751	2015	664
752	2017	661
753	2019	658
754	2021	655
755	2024	653
756	2026	650
757	2028	647
758	2030	644
759	2031	641
760	2033	638
761	2035	635
762	2037	632
763	2038	629
764	2041	627
765	2043	624
766	2044	621
767	2046	618
768	2049	615
769	2050	612
770	2052	609
771	2055	606
772	2058	604
773	2059	601
774	2061	598
775	2064	595
776	2066	593
777	2068	590
778	2071	587
779	2073	584
780	2076	582
781	2078	579
782	2080	576
783	2082	573
784	2084	570
785	2087	568
786	2090	565
787	2092	562
788	2094	560
789	2096	557
790	2098	554
791	2100	551
792	2102	548
793	2105	546
794	2106	543
795	2109	540
796	2110	537
797	2112	534
798	2114	531
799	2115	528
800	2117	526
801	2119	523
802	2121	520
803	2123	517
804	2125	514
805	2127	512
806	2129	509
807	2130	506
808	2132	503
809	2135	500
810	2137	498
811	2139	495
812	2141	492
813	2143	489
814	2144	486
815	2146	483
816	2147	481
817	2149	478
818	2151	475
819	2154	472
820	2155	470
821	2157	467
822	2159	464
823	2161	461
824	2163	458
825	2166	456
826	2169	453
827	2172	451
828	2174	448
829	2176	445
830	2178	443
831	2180	440
832	2182	437
833	2184	434
834	2186	432
835	2188	429
836	2190	426
837	2192	423
838	2194	421
839	2196	418
840	2198	415
841	2200	412
842	2202	410
843	2203	407
844	2205	404
845	2207	401
846	2209	399
847	2210	396
848	2212	393
849	2213	390
850	2215	387
851	2216	385
852	2218	382
853	2220	379
854	2221	376
855	2223	374
856	2224	371
857	2226	368
858	2227	365
859	2229	362
860	2231	360
861	2233	357
862	2234	354
863	2236	352
864	2238	349
865	2240	346
866	2241	343
867	2243	341
868	2244	338
869	2246	335
870	2248	332
871	2249	330
872	2251	327
873	2252	324
874	2254	322
875	2255	319
876	2257	316
877	2259	313
878	2261	311
879	2262	308
880	2264	305
881	2265	303
882	2267	300
883	2268	297
884	2270	295
885	2272	292
886	2273	289
887	2275	286
888	2276	284
889	2278	281
890	2280	278
891	2282	276
892	2284	273
893	2285	270
894	2287	268
895	2289	265
896	2290	263
897	2292	260
898	2293	257
899	2295	255
900	2296	252
901	2298	249
902	2300	247
903	2301	244
904	2303	241
905	2304	239
906	2306	236
907	2307	233
908	2309	231
909	2311	228
910	2313	226
911	2314	223
912	2316	220
913	2318	218
914	2320	215
915	2321	212
916	2323	210
917	2325	207
918	2327	205
919	2329	202
920	2330	199
921	2332	197
922	2334	194
923	2336	192
924	2338	189
925	2339	186
926	2341	184
927	2343	181
928	2345	179
929	2346	176
930	2348	174
931	2349	171
932	2350	168
933	2352	166
934	2354	163
935	2355	161
936	2357	158
937	2359	155
938	2360	153
939	2362	150
940	2364	148
941	2365	145
942	2366	143
943	2367	140
944	2369	137
945	2370	135
946	2372	132
947	2374	130
948	2376	127
949	2378	125
950	2380	122
951	2381	120
952	2383	117
953	2384	114
954	2386	112
955	2387	109
956	2389	107
957	2391	104
958	2393	102
959	2394	99
960	2396	97
961	2398	94
962	2399	92
963	2401	89
964	2403	87
965	2405	84
966	2407	82
967	2408	79
968	2411	77
969	2412	74
970	2414	72
971	2416	69
972	2417	67
973	2419	64
974	2420	62
975	2422	59
976	2424	57
977	2425	54
978	2426	52
979	2428	49
980	2429	47
981	2431	44
982	2433	42
983	2434	39
984	2436	37
985	2439	34
986	2441	32
987	2442	29
988	2444	27
989	2446	24
990	2447	22
991	2449	19
992	2450	17
993	2453	14
994	2455	12
995	2457	9
996	2459	7
997	2461	4
998	2462	2
999	2464	0
