iter	Logloss
0	0.68608317
1	0.676962784
2	0.6692325641
3	0.6604954179
4	0.651328482
5	0.6420694474
6	0.6337009903
7	0.6269564108
8	0.617535301
9	0.6099038575
10	0.6004769379
11	0.5946951888
12	0.58733797
13	0.5820772271
14	0.5714394325
15	0.5643962292
16	0.5546639595
17	0.5471258295
18	0.5400089226
19	0.5318733825
20	0.5251017418
21	0.5182304427
22	0.5114490652
23	0.5046420779
24	0.4980641259
25	0.4908528355
26	0.4845195271
27	0.4795342387
28	0.4735872155
29	0.4666435854
30	0.4616491176
31	0.4539455373
32	0.4471012409
33	0.4405550806
34	0.4357155213
35	0.4300296195
36	0.4240511271
37	0.4165675355
38	0.4113853728
39	0.4067286007
40	0.4004183952
41	0.3958954028
42	0.3911626494
43	0.3855173517
44	0.3801064479
45	0.3752043044
46	0.3704783308
47	0.3661523113
48	0.3608496857
49	0.3555786606
50	0.3518701157
51	0.3472394829
52	0.3428934227
53	0.3390098509
54	0.334597553
55	0.3304086663
56	0.3269488171
57	0.3229635209
58	0.3183933688
59	0.3141044207
60	0.3100339327
61	0.3069166107
62	0.3032945815
63	0.3002882662
64	0.2962366388
65	0.2925247293
66	0.2889786624
67	0.2847872795
68	0.2815425914
69	0.2780949696
70	0.275186077
71	0.2725871353
72	0.2700285244
73	0.2669077696
74	0.2648807505
75	0.2611292489
76	0.2586366688
77	0.2557515737
78	0.252620174
79	0.2489059604
80	0.2462388997
81	0.243982376
82	0.241031924
83	0.2380752646
84	0.2356101342
85	0.2330540069
86	0.2309958966
87	0.2277741932
88	0.2251626952
89	0.222239614
90	0.2198497965
91	0.2172352207
92	0.215007866
93	0.2127962032
94	0.2101408927
95	0.2074427798
96	0.2054819104
97	0.2031669254
98	0.201395893
99	0.1988044173
100	0.1969683175
101	0.1953065448
102	0.1924059985
103	0.189871791
104	0.1878728233
105	0.1858754824
106	0.1834635737
107	0.1818957594
108	0.1799700365
109	0.1778397159
110	0.1763077837
111	0.1742020057
112	0.1723066088
113	0.1704500348
114	0.1688393615
115	0.1663889046
116	0.1648697908
117	0.162764947
118	0.1613768552
119	0.1593395855
120	0.1574675937
121	0.1560578714
122	0.1545041116
123	0.1527512862
124	0.1510986899
125	0.1493881786
126	0.1476816189
127	0.1462452086
128	0.1445396966
129	0.1427540188
130	0.1413639255
131	0.1398399004
132	0.1386516981
133	0.1378100725
134	0.1362361277
135	0.1348972681
136	0.1335845394
137	0.1321513976
138	0.1308533254
139	0.129704657
140	0.1285446351
141	0.1274193458
142	0.1258779328
143	0.1249349899
144	0.1236333897
145	0.1225626814
146	0.1214149334
147	0.120609341
148	0.1190963513
149	0.1180660529
150	0.1170846645
151	0.1160861512
152	0.1148298556
153	0.1140165867
154	0.1131320398
155	0.1122230514
156	0.111038504
157	0.1101357731
158	0.109052448
159	0.1077397944
160	0.1066260854
161	0.1057302529
162	0.1048225402
163	0.1040880815
164	0.1028972148
165	0.1018908993
166	0.1009603015
167	0.1002381016
168	0.0992710653
169	0.09854848921
170	0.09780824961
171	0.0970347128
172	0.09613069817
173	0.09522785209
174	0.09446764042
175	0.09386145818
176	0.0929666422
177	0.09209564253
178	0.09152055588
179	0.09065357577
180	0.09005393351
181	0.08930297108
182	0.08859599989
183	0.08793812189
184	0.08732852415
185	0.08664005995
186	0.0857415024
187	0.08531016362
188	0.08455211325
189	0.08390133571
190	0.08331624099
191	0.08265762119
192	0.08194166422
193	0.08135348058
194	0.0808529378
195	0.08000832445
196	0.07959218135
197	0.0789544372
198	0.07826028501
199	0.07783003565
200	0.07696598317
201	0.07623429859
202	0.07543209671
203	0.07463718262
204	0.07420408575
205	0.07371941484
206	0.07308903211
207	0.07256789117
208	0.07186128312
209	0.07121477608
210	0.07058992757
211	0.06999718291
212	0.0696542218
213	0.0691464338
214	0.0686806791
215	0.06817928733
216	0.06765934549
217	0.06711463818
218	0.06683323163
219	0.06639739545
220	0.06594038911
221	0.06553694481
222	0.06504352053
223	0.06439041791
224	0.06412426213
225	0.06362954408
226	0.06312748514
227	0.0626185296
228	0.06201501854
229	0.06161691612
230	0.06113978244
231	0.0608583859
232	0.06024445556
233	0.05986269031
234	0.05940345806
235	0.05903174046
236	0.05851418131
237	0.05810480559
238	0.05773431814
239	0.05742712231
240	0.05706506867
241	0.0566484863
242	0.05629433754
243	0.05590168869
244	0.05545297541
245	0.05504531019
246	0.05468172837
247	0.05432339626
248	0.05388545439
249	0.05347460659
250	0.05307784852
251	0.05272491489
252	0.05233844138
253	0.05193817966
254	0.05162491618
255	0.05131144984
256	0.05091798356
257	0.05051376088
258	0.05025080472
259	0.04992545703
260	0.04961095738
261	0.04930404906
262	0.04897081051
263	0.04873670199
264	0.04847582298
